"year","valid_species_totals","available_name_totals","species_per_year","percent_species_per_year","smoothed_10_year_percent_species","lumps_per_year","percent_lumps_per_year","smoothed_10_year_percent_lumps","splits_per_year","percent_splits_per_year","smoothed_10_year_percent_splits","subspecies_per_year","percent_subspecies_per_year","smoothed_10_year_percent_subspecies"
1880,25,57,54,94.7368421052632,85.8757191865309,29,50.8771929824561,58.2429057072297,0,0,0.906381067681518,2,3.50877192982456,10.7432034823685
1881,19,63,52,82.5396825396825,85.5109029101125,33,52.3809523809524,57.4036528790266,0,0,0.795883830112458,11,17.4603174603175,11.2185169963561
1882,17,51,43,84.3137254901961,84.5256087924654,26,50.9803921568627,55.2516920947129,0,0,0.795883830112458,8,15.6862745098039,12.2871444473365
1883,12,52,48,92.3076923076923,85.4019476434878,35,67.3076923076923,55.1470182875074,1,1.92307692307692,0.98819152242015,4,7.69230769230769,11.5373878747951
1884,20,88,75,85.2272727272727,85.9246749162151,58,65.9090909090909,55.5712607117498,3,3.40909090909091,0.829100613329241,13,14.7727272727273,11.0146606020678
1885,12,54,36,66.6666666666667,83.6902426817828,24,44.4444444444444,54.1915293320185,0,0,0.829100613329241,18,33.3333333333333,13.5787631661704
1886,17,48,32,66.6666666666667,81.9062051230974,16,33.3333333333333,52.1727499892955,2,4.16666666666667,1.10492220957337,16,33.3333333333333,15.3628007248558
1887,28,89,78,87.6404494382023,81.3679244855223,51,57.3033707865169,51.6240173005053,1,1.12359550561798,1.06224300044525,11,12.3595505617978,15.901081362431
1888,52,140,135,96.4285714285714,84.7885594061572,84,60,54.1795728560608,3,2.14285714285714,1.27652871473096,5,3.57142857142857,15.0360019973516
1889,38,129,100,77.5193798449613,83.4046949215175,68,52.7131782945737,53.5249647595923,6,4.65116279069767,1.74164499380073,26,20.1550387596899,16.1873083424564
1890,59,146,113,77.3972602739726,81.6707367383885,60,41.0958904109589,52.5468345024426,6,4.10958904109589,2.15260389791032,33,22.6027397260274,18.0967051220767
1891,30,90,72,80,81.4167684844202,42,46.6666666666667,51.975405931014,1,1.11111111111111,2.26371500902143,18,20,18.3506733760449
1892,42,123,110,89.4308943089431,81.9284853662949,69,56.0975609756098,52.4871228128887,2,1.6260162601626,2.42631663503769,13,10.5691056910569,17.8389564941702
1893,54,145,121,83.448275862069,81.0425437217326,70,48.2758620689655,50.583939789016,3,2.06896551724138,2.44090549445414,24,16.551724137931,18.7248981387326
1894,64,237,186,78.4810126582278,80.3679177148281,128,54.0084388185654,49.3938745799635,6,2.53164556962025,2.35316096050707,50,21.0970464135021,19.35733005281
1895,79,193,139,72.020725388601,80.9033235870215,75,38.860103626943,48.8354404982133,15,7.7720207253886,3.13036303304593,52,26.9430051813472,18.7182972376114
1896,45,194,131,67.5257731958763,80.9892342399425,88,45.360824742268,50.0381896391068,3,1.54639175257732,2.868335541637,62,31.9587628865979,18.5808401929379
1897,89,311,228,73.3118971061093,79.5563790067332,151,48.5530546623794,49.163158026693,12,3.85852090032154,3.14182808110735,83,26.6881028938907,20.0136954261472
1898,96,366,234,63.9344262295082,76.3069644868269,143,39.0710382513661,47.0702618518296,5,1.36612021857923,3.06415438867956,132,36.0655737704918,23.2631099460535
1899,54,281,191,67.9715302491103,75.3521795272418,144,51.2455516014235,46.9234991825146,7,2.49110320284698,2.84814842989449,90,32.0284697508897,24.4504530451735
1900,76,403,275,68.2382133995037,74.4362748397949,207,51.3647642679901,47.9503865682177,10,2.48138957816377,2.68532848360128,127,31.5136476426799,25.3415438368387
1901,81,373,258,69.1689008042895,73.3531649202238,185,49.597855227882,48.2435054243393,8,2.14477211796247,2.78869458428641,115,30.8310991957105,26.4246537564098
1902,77,392,272,69.3877551020408,71.3488509995336,206,52.5510204081633,47.8888513675946,12,3.06122448979592,2.93221540724975,120,30.6122448979592,28.4289676771
1903,67,370,295,79.7297297297297,70.9769963862997,228,61.6216216216216,49.2234273228602,1,0.27027027027027,2.75234588255264,73,19.7297297297297,28.7467682362799
1904,71,361,191,52.9085872576177,68.4197538462387,133,36.8421052631579,47.5067939673195,13,3.601108033241,2.85929212891471,167,46.2603878116344,31.2631023760931
1905,61,329,185,56.2310030395137,66.8407816113299,133,40.4255319148936,47.6633367961146,10,3.03951367781155,2.386041424157,143,43.4650455927052,32.9153064172289
1906,73,369,240,65.0406504065041,66.5922693323927,181,49.0514905149051,48.0324033733783,14,3.7940379403794,2.61080604293721,128,34.6883468834688,33.188264816916
1907,62,362,228,62.9834254143646,65.5594221632182,174,48.0662983425414,47.9837277413945,9,2.48618784530387,2.47357273743545,134,37.0165745856354,34.2211119860904
1908,51,330,195,59.0909090909091,65.0750704493583,150,45.4545454545455,48.6220784617124,6,1.81818181818182,2.5187788973957,135,40.9090909090909,34.7054636999504
1909,55,314,179,57.0063694267516,63.9785543671225,132,42.0382165605096,47.701344957621,8,2.54777070063694,2.5244456471747,135,42.9936305732484,35.8019797821862
1910,71,442,256,57.9185520361991,62.946588230792,192,43.4389140271493,46.9087599335369,8,1.80995475113122,2.45730216447145,184,41.6289592760181,36.8135109455201
1911,68,440,262,59.5454545454545,61.9842436049085,199,45.2272727272727,46.471701683476,8,1.81818181818182,2.42464313449338,174,39.5454545454545,37.6849464804945
1912,85,400,204,51,60.1454680947044,132,33,44.5165996426597,13,3.25,2.44352068551379,196,49,39.5237219906985
1913,57,529,269,50.8506616257089,57.2575612843023,223,42.1550094517958,42.5699384256771,11,2.07939508506616,2.62443316699338,260,49.1493383742911,42.4656828551547
1914,49,486,234,48.1481481481481,56.7815173733554,187,38.477366255144,42.7334645248757,10,2.05761316872428,2.47008368054171,252,51.8518518518518,43.0248292591764
1915,43,294,157,53.4013605442177,56.4985531238258,124,42.1768707482993,42.9085984082163,10,3.40136054421769,2.50626836718232,135,45.9183673469388,43.2701614345998
1916,58,343,191,55.6851311953353,55.5630012027089,142,41.399416909621,42.1433910476879,10,2.91545189504373,2.41840976264875,152,44.3148688046647,44.2328136267194
1917,36,228,133,58.3333333333333,55.0979919946058,102,44.7368421052632,41.81044542396,5,2.19298245614035,2.3890892237324,95,41.6666666666667,44.6978228348225
1918,24,199,101,50.7537688442211,54.264277969937,81,40.7035175879397,41.3353426372995,4,2.01005025125628,2.40827606703985,97,48.7437185929648,45.4812856032099
1919,18,193,91,47.1502590673575,53.2786669339976,76,39.3782383419689,41.0693448154454,3,1.55440414507772,2.30893941148393,102,52.8497409326425,46.4668966391493
